Type,# Fat,Date,Month,Day,Hour,Time,x,y,Year
Bicycle,1,2016-07-10,7,7,23,23:40,-97.768808,30.173442,2016
Motor Vehicle,1,2016-08-09,8,2,16,16:21,-97.792588,30.113096,2016
Pedestrian,1,2016-08-13,8,6,2,02:07,-97.736646,30.254833,2016
Motor Vehicle,1,2016-08-19,8,5,20,20:24,-97.746502,30.224041,2016
Motor Vehicle,1,2016-08-20,8,6,3,03:50,-97.668397,30.443217,2016
Pedestrian,1,2016-08-20,8,6,23,23:07,-97.785079,30.195639,2016
Motor Vehicle,1,2016-08-23,8,2,13,13:05,-97.731357,30.356425,2016
Motorcycle,1,2016-08-30,8,2,20,20:30,-97.716751,30.408162,2016
Motorcycle,1,2016-09-01,9,4,11,11:14,-97.729061,30.362911,2016
Motor Vehicle,2,2016-09-10,9,6,6,06:24,-97.813137,30.324214,2016
Motor Vehicle,1,2016-09-10,9,6,17,17:57,-97.84266,30.428784,2016
Pedestrian,1,2016-09-18,9,7,21,21:55,-97.772877,30.221043,2016
Motorcycle,1,2016-09-19,9,1,17,17:45,-97.860751,30.252162,2016
Motorcycle,1,2016-09-28,9,3,2,02:15,-97.755944,30.328111,2016
Motor Vehicle,1,2016-10-02,10,7,0,00:19,-97.689117,30.330145,2016
Motor Vehicle,1,2016-10-12,10,3,23,23:53,-97.709194,30.203042,2016
Motor Vehicle,1,2016-10-15,10,6,3,03:27,-97.830063,30.22721,2016
Motor Vehicle,1,2016-10-13,10,4,8,08:39,-97.831159,30.236357,2016
Motor Vehicle,1,2016-10-19,10,3,2,02:25,-97.741652,30.23385,2016
Motor Vehicle,1,2016-10-26,10,3,3,03:20,-97.731593,30.330871,2016
Motor Vehicle,1,2016-10-26,10,3,12,12:07,-97.824728,30.172108,2016
Bicycle,1,2016-11-05,11,6,7,07:20,-97.832441,30.236119,2016
Pedestrian,1,2016-11-08,11,1,6,18:57,-97.700108,30.357647,2016
Motorcycle,1,2016-11-11,11,5,8,20:21,-97.811354,30.104064,2016
Pedestrian,1,2016-11-16,11,3,5,05:50,-97.70943,30.311346,2016
Pedestrian,1,2016-11-06,11,7,8,20:34,-97.688996,30.377419,2016
Motor Vehicle,2,2016-11-22,11,2,19,19:31,-97.594177,30.338692,2016
Pedestrian,1,2016-11-23,11,3,3,03:34,-97.793833,30.145808,2016
Motorcycle,1,2016-11-11,11,5,21,21:44,-97.682105,30.223902,2016
Pedestrian,1,2016-11-24,11,4,18,18:37,-97.705601,30.329808,2016
Motor Vehicle,1,2016-11-25,11,5,19,19:47,-97.718872,30.33763,2016
Pedestrian,1,2016-11-29,11,2,21,21:13,-97.702597,30.286928,2016
Pedestrian,1,2016-11-29,11,2,14,14:15,-97.740043,30.235451,2016
Motor Vehicle,1,2016-12-07,12,3,8,08:22,-97.624398,30.195326,2016
Motor Vehicle,1,2016-12-18,12,7,3,03:38,-97.895974,30.250702,2016
Motor Vehicle,1,2016-12-21,12,3,5,05:47,-97.766961,30.224881,2016
Pedestrian,1,2016-12-21,12,3,16,16:13,-97.775528,30.202493,2016
Pedestrian,1,2016-12-23,12,5,22,22:10,-97.819543,30.277537,2016
Pedestrian,1,2016-11-25,11,5,17,17:58,-97.768774,30.215157,2016
Motor Vehicle,1,2017-01-03,1,2,1,01:55,-97.709153,30.350809,2017
Bicycle,1,2017-01-08,1,7,15,15:32,-97.753497,30.426752,2017
Motor Vehicle,1,2017-01-07,1,6,21,21:06,-97.623275,30.33123,2017
Motor Vehicle,1,2017-01-15,1,7,2,02:19,-97.790548,30.449598,2017
Pedestrian,1,2017-01-11,1,3,6,06:51,-97.706646,30.320762,2017
Motor Vehicle,1,2017-02-05,2,7,3,03:41,-97.807729,30.111226,2017
Motor Vehicle,1,2017-02-07,2,2,23,23:24,-97.707257,30.213443,2017
Motor Vehicle,1,2017-02-19,2,7,23,23:14,-97.78569,30.371658,2017
Motorcycle,1,2017-02-22,2,3,15,15:15,-97.708229,30.321594,2017
Motor Vehicle,1,2017-02-17,2,5,2,02:48,-97.660994,30.302634,2017
Motor Vehicle,1,2017-03-11,3,6,20,20:44,-97.704747,30.197431,2017
Bicycle,1,2017-03-14,3,2,23,23:42,-97.678834,30.286215,2017
Motor Vehicle,1,2017-03-18,3,6,8,08:07,-97.826565,30.239929,2017
Pedestrian,1,2017-03-12,3,7,1,01:21,-97.693053,30.370097,2017
Pedestrian,1,2017-03-19,3,7,2,02:31,-97.717858,30.401852,2017
Pedestrian,1,2017-03-24,3,5,11,11:56,-97.68631,30.332499,2017
Bicycle,1,2017-03-28,3,2,19,19:26,-97.755834,30.24743,2017
Motor Vehicle,1,2017-03-30,3,4,11,11:12,-97.694956,30.321868,2017
Pedestrian,1,2017-04-04,4,2,21,21:06,-97.771719,30.191007,2017
Motor Vehicle,2,2017-04-08,4,6,4,04:43,-97.622752,30.199905,2017
Motor Vehicle,2,2017-04-08,4,6,9,09:52,-97.904446,30.257222,2017
Motorcycle,1,2017-04-17,4,1,19,19:21,-97.694928,30.290123,2017
Motorcycle,1,2017-04-25,4,2,16,16:19,-97.733094,30.376402,2017
Motor Vehicle,1,2017-04-29,4,6,13,13:52,-97.754884,30.184113,2017
Pedestrian,1,2017-04-27,4,4,6,06:23,-97.7472,30.193826,2017
Motor Vehicle,1,2017-05-01,5,1,12,12:02,-97.703222,30.321727,2017
Motor Vehicle,1,2017-05-30,5,2,21,21:18,-97.775425,30.192018,2017
Motor Vehicle,1,2017-06-05,6,1,6,06:15,-97.639116,30.203154,2017
Motor Vehicle,1,2017-06-10,6,6,22,22:28,-97.718512,30.350281,2017
Pedestrian,1,2017-06-11,6,7,21,21:18,-97.684266,30.283327,2017
Motor Vehicle,1,2017-07-08,7,6,0,00:30,-97.81214,30.382159,2017
Motor Vehicle,1,2017-07-13,7,4,20,20:59,-97.795281,30.352448,2017
Pedestrian,1,2017-07-17,7,4,22,22:58,-97.675583,30.376949,2017
Motor Vehicle,1,2017-07-27,7,7,8,08:52,-97.683061,30.229561,2017
Motorcycle,1,2017-08-02,8,3,21,21:43,-97.653458,30.394508,2017
Pedestrian,1,2017-08-03,8,4,21,21:25,-97.696045,30.345376,2017
Motor Vehicle,1,2017-08-05,8,6,23,23:06,-97.76287,30.187706,2017
Motorcycle,1,2017-08-06,8,7,0,00:33,-97.778115,30.246489,2017
Pedestrian,1,2017-08-07,8,1,1,01:48,-97.761191,30.228058,2017
Motor Vehicle,1,2017-08-14,8,1,5,05:32,-97.719555,30.336702,2017
Pedestrian,1,2017-08-23,8,3,7,07:14,-97.683536,30.203971,2017
Motor Vehicle,1,2017-09-03,9,7,2,02:22,-97.795248,30.465592,2017
Pedestrian,1,2017-09-04,9,1,21,21:44,-97.669327,30.44026,2017
Motor Vehicle,1,2017-09-05,9,2,22,22:18,-97.685973,30.188846,2017
Motor Vehicle,1,2017-08-24,8,4,20,20:27,-97.736871,30.240816,2017
Pedestrian,1,2017-09-07,9,4,5,05:49,-97.755406,30.438991,2017
Motor Vehicle,1,2017-09-02,9,6,14,14:00,-97.725656,30.23768,2017
Motor Vehicle,1,2017-09-25,9,1,5,05:14,-97.795281,30.352448,2017
Bicycle,1,2017-09-22,9,5,2,02:28,-97.748779,30.268678,2017
Pedestrian,1,2017-10-10,10,2,16,16:29,-97.706726,30.366617,2017
Pedestrian,1,2017-10-12,10,4,10,10:37,-97.735255,30.263801,2017
Pedestrian,1,2017-10-13,10,5,19,19:36,-97.720683,30.255787,2017
Pedestrian,1,2017-10-16,10,1,5,05:57,-97.739666,30.19363,2017
Pedestrian,1,2017-10-27,10,6,21,21:00,-97.78614,30.240842,2017
Motorcycle,1,2017-10-29,10,7,18,18:13,-97.726138,30.263954,2017
Pedestrian,1,2017-10-31,10,2,20,20:35,-97.725024,30.256208,2017
Motorcycle,1,2017-11-05,11,7,2,02:19,-97.664369,30.222797,2017
Motor Vehicle,1,2017-11-05,11,7,22,22:19,-97.793613,30.422528,2017
Motor Vehicle,3,2017-11-11,11,6,15,15:32,-97.743921,30.386784,2017
Motor Vehicle,2,2017-11-11,11,6,22,22:37,-97.701118,30.224027,2017
Pedestrian,1,2017-11-20,11,1,19,19:44,-97.70943,30.311346,2017
Motor Vehicle,1,2017-11-23,11,4,22,22:39,-97.688968,30.284871,2017
Pedestrian,1,2017-11-24,11,5,20,20:01,-97.805879,30.174032,2017
Pedestrian,1,2017-11-24,11,5,22,22:14,-97.812755,30.100462,2017
Motorcycle,1,2017-12-03,12,7,1,01:21,-97.689372,30.376617,2017
Pedestrian,1,2017-12-03,12,7,16,16:25,-97.673273,30.414601,2017
Motorcycle,1,2017-12-04,12,1,13,13:10,-97.715069,30.355643,2017
Motorcycle,1,2017-12-05,12,2,0,00:40,-97.754409,30.266275,2017
Motor Vehicle,1,2017-12-07,12,4,0,00:19,-97.67093,30.308889,2017
Motorcycle,1,2017-12-12,12,2,14,14:13,-97.715831,30.356976,2017
Motor Vehicle,1,2017-12-21,12,4,1,01:38,-97.731792,30.233746,2017
Motor Vehicle,2,2018-01-04,1,4,23,23:25,-97.70766,30.315355,2018
Motor Vehicle,1,2018-01-16,1,2,17,17:14,-97.817994,30.173921,2018
Motorcycle,1,2018-01-24,1,3,18,18:31,-97.654502,30.414118,2018
Motor Vehicle,1,2018-01-28,1,7,5,05:00,-97.807409,30.245719,2018
Pedestrian,1,2018-01-30,1,2,22,22:49,-97.696643,30.337206,2018
Motorcycle,1,2018-02-09,2,5,3,03:07,-97.725208,30.293554,2018
Bicycle,1,2018-01-29,1,1,12,12:18,-97.741091,30.195555,2018
Pedestrian,1,2018-02-06,2,2,19,19:07,-97.693544,30.220213,2018
Pedestrian,1,2018-02-17,2,6,20,20:40,-97.795827,30.16928,2018
Motor Vehicle,1,2018-02-23,2,5,22,22:32,-97.629246,30.289229,2018
Pedestrian,1,2018-02-28,2,3,6,06:36,-97.776712,30.160235,2018
Motor Vehicle,1,2018-03-13,3,2,16,16:31,-97.660947,30.419407,2018
Pedestrian,1,2018-03-15,3,4,20,20:45,-97.736178,30.252381,2018
Motor Vehicle,1,2018-03-23,3,7,4,04:31,-97.873301,30.190415,2018
Motor Vehicle,1,2018-03-11,3,7,14,14:38,-97.826068,30.315459,2018
Motor Vehicle,1,2018-04-09,4,1,1,01:09,-97.778818,30.193076,2018
Pedestrian,1,2018-04-11,4,3,1,01:15,-97.784918,30.168472,2018
Motorcycle,1,2018-04-12,4,4,17,17:39,-97.888308,30.247001,2018
Motor Vehicle,1,2018-04-16,4,1,2,02:24,-97.736767,30.26123,2018
Pedestrian,1,2018-04-21,4,6,5,05:37,-97.780688,30.175964,2018
Motor Vehicle,1,2018-05-01,5,2,2,02:50,-97.781513,30.208448,2018
Pedestrian,1,2018-05-07,5,1,2,02:10,-97.698495,30.342328,2018
Pedestrian,1,2018-05-21,5,1,4,04:23,-97.707128,30.31843,2018
Motor Vehicle,1,2018-05-26,5,6,9,09:42,-97.647999,30.280828,2018
Pedestrian,1,2018-06-07,6,4,21,21:19,-97.695509,30.26561,2018
Motor Vehicle,1,2018-06-10,6,7,16,16:48,-97.607618,30.335029,2018
Motorcycle,1,2018-06-10,6,7,3,03:03,-97.623247,30.298567,2018
Motorcycle,1,2018-06-08,6,5,22,22:41,-97.620607,30.302631,2018
Motorcycle,1,2018-06-13,6,3,23,23:26,-97.688539,30.276482,2018
Motor Vehicle,1,2018-07-03,7,2,11,11:59,-97.636618,30.201436,2018
Motor Vehicle,1,2018-07-09,7,1,15,15:43,-97.761409,30.269339,2018
Pedestrian,1,2018-07-13,7,5,21,21:05,-97.695997,30.36487,2018
Pedestrian,1,2018-07-23,7,1,6,06:29,-97.738552,30.439205,2018
Motorcycle,1,2018-07-23,7,1,22,22:20,-97.769418,30.174329,2018
Motor Vehicle,1,2018-07-15,7,7,7,07:14,-97.719588,30.294971,2018
Pedestrian,1,2018-07-26,7,4,8,08:40,-97.693189,30.336078,2018
Pedestrian,1,2018-07-27,7,5,21,21:17,-97.735372,30.26398,2018
Pedestrian,1,2018-07-29,7,7,22,22:36,-97.833266,30.153267,2018
Pedestrian,1,2018-08-01,8,3,7,07:58,-97.76918,30.226975,2018
Motorcycle,1,2018-08-07,8,2,18,18:52,-97.666009,30.319215,2018
Motor Vehicle,1,2018-08-17,8,5,0,00:27,-97.671294,30.394254,2018
Motor Vehicle,1,2018-08-21,8,2,6,06:35,-97.714946,30.246111,2018
Motor Vehicle,1,2018-08-22,8,3,20,20:50,-97.70577,30.324017,2018
Motor Vehicle,1,2018-08-25,8,6,1,01:24,-97.678288,30.222321,2018
Pedestrian,1,2018-08-16,8,4,21,21:17,-97.716408,30.334759,2018
Motor Vehicle,1,2018-08-21,8,2,6,06:00,-97.679711,30.371187,2018
Pedestrian,1,2018-09-02,9,7,7,07:44,-97.648821,30.386275,2018
Pedestrian,1,2018-09-02,9,7,22,22:12,-97.794904,30.234999,2018
Pedestrian,1,2018-08-18,8,6,2,02:33,-97.734654,30.26685,2018
Pedestrian,1,2018-09-11,9,2,22,22:29,-97.67175,30.220067,2018
Motor Vehicle,1,2018-09-22,9,6,10,10:28,-97.6005,30.336722,2018
Pedestrian,1,2018-09-20,9,4,23,23:36,-97.699319,30.33063,2018
Motor Vehicle,1,2018-10-03,10,3,0,00:24,-97.725174,30.286215,2018
Pedestrian,1,2018-10-10,10,3,2,02:05,-97.722648,30.256432,2018
Pedestrian,1,2018-10-12,10,5,6,06:32,-97.706183,30.325331,2018
Motor Vehicle,1,2018-10-12,10,5,17,17:52,-97.764931,30.431523,2018
Motor Vehicle,1,2018-10-16,10,2,19,19:52,-97.786208,30.166851,2018
Motor Vehicle,1,2018-10-17,10,3,15,15:07,-97.801692,30.11288,2018
Pedestrian,1,2018-10-19,10,5,2,02:20,-97.777183,30.246924,2018
Pedestrian,1,2018-10-30,10,2,3,03:50,-97.696678,30.344394,2018
Motor Vehicle,1,2018-10-29,10,7,22,22:46,-97.767831,30.245127,2018
Pedestrian,1,2018-11-02,11,5,11,11:52,-97.803619,30.210518,2018
Pedestrian,1,2018-11-03,11,6,0,00:33,-97.728448,30.402582,2018
Pedestrian,1,2018-11-04,11,7,1,01:40,-97.732256,30.271853,2018
Motor Vehicle,1,2018-11-09,11,5,21,21:43,-97.661974,30.28507,2018
Bicycle,1,2018-11-09,11,5,18,18:23,-97.650619,30.388337,2018
Motor Vehicle,1,2018-11-22,11,4,15,15:17,-97.804553,30.484374,2018
Pedestrian,1,2018-11-27,11,2,13,13:46,-97.70157,30.335968,2018
Motor Vehicle,1,2018-11-29,11,4,19,19:48,-97.728905,30.37397,2018
Pedestrian,1,2018-12-01,12,6,1,01:28,-97.698705,30.260667,2018
Motor Vehicle,1,2018-12-04,12,2,20,20:39,-97.717789,30.365314,2018
Motorcycle,1,2018-12-21,12,5,20,20:21,-97.734239,30.390881,2018
Motor Vehicle,1,2018-12-30,12,7,2,02:24,-97.678343,30.222337,2018
Pedestrian,1,2019-01-15,1,2,6,06:19,-97.681335,30.368955,2019
Motor Vehicle,1,2019-01-16,1,3,15,15:42,-97.861421,30.228131,2019
Pedestrian,1,2019-01-08,1,2,21,21:37,-97.801933,30.243596,2019
Pedestrian,1,2019-01-26,1,6,1,01:03,-97.705467,30.330291,2019
Pedestrian,1,2019-02-01,2,5,0,00:52,-97.735003,30.265881,2019
Motorcycle,1,2019-02-06,2,3,7,07:01,-97.76508,30.244264,2019
Motor vehicle,1,2019-02-09,2,6,12,Dec-48,-97.671406,30.30356,2019
Pedestrian,1,2019-02-21,2,4,20,20:30,-97.709464,30.350741,2019
Pedestrian,1,2019-02-21,2,4,23,23:57,-97.694243,30.220619,2019
Motor vehicle,1,2019-02-27,2,3,22,22:25,-97.701673,30.256036,2019
Bicycle,1,2019-03-28,3,4,22,22:11,-97.728487,30.278568,2019
Pedestrian,1,2019-03-29,3,5,20,20:18,-97.781001,30.186518,2019
Pedestrian,1,2019-03-17,3,7,21,21:31,-97.737028,30.257497,2019
Motor Vehicle,1,2019-03-21,3,4,7,07:40,-97.747309,30.198738,2019
Motor Vehicle,2,2019-04-02,4,2,22,22:01,-97.778539,30.163793,2019
Motor Vehicle,1,2019-04-06,4,6,15,15:26,-97.765472,30.47602,2019
Motor Vehicle,1,2019-04-03,4,3,2,02:39,-97.652923,30.432672,2019
Pedestrian,1,2019-04-17,4,3,1,01:41,-97.774792,30.204945,2019
Motor Vehicle,1,2019-04-17,4,3,10,10:22,-97.747867,30.407795,2019
Motor Vehicle,1,2019-04-18,4,4,6,06:53,-97.890863,30.229444,2019
Motor Vehicle,1,2019-04-18,4,4,10,10:15,-97.646623,30.180581,2019
Pedestrian,1,2019-04-21,4,7,10,10:38,-97.707815,30.315994,2019
Motor Vehicle,1,2019-04-14,4,7,11,11:06,-97.730009,30.40089,2019
Motor Vehicle,1,2019-04-26,4,5,20,20:08,-97.715328,30.354776,2019
Pedestrian,1,2019-05-02,5,4,6,06:09,-97.702354,30.355748,2019
Pedestrian,1,2019-05-07,5,2,2,02:54,-97.737007,30.25975,2019
Motor Vehicle,1,2019-05-12,5,7,3,03:50,-97.674941,30.378861,2019
Motor Vehicle,1,2019-05-12,5,7,9,09:58,-97.785805,30.264557,2019
Motor Vehicle,1,2019-05-12,5,7,23,23:35,-97.671294,30.394254,2019
Motor Vehicle,1,2019-05-18,5,6,1,01:58,-97.697907,30.273556,2019
Pedestrian,1,2019-05-18,5,6,22,22:54,-97.668116,30.441687,2019
Motor Vehicle,1,2019-05-19,5,7,13,13:15,-97.756365,30.235508,2019
Motor Vehicle,1,2019-06-01,6,6,22,22:20,-97.714964,30.343974,2019
Motor Vehicle,1,2019-06-02,6,7,2,02:48,-97.677311,30.286393,2019
Pedestrian,1,2019-06-03,6,1,5,05:39,-97.801065,30.127707,2019
Motor Vehicle,1,2019-06-08,6,6,12,12:28,-97.759838,30.388155,2019
Motorcycle,1,2019-06-10,6,1,3,15:53,-97.751382,30.237467,2019
Motorcycle,1,2019-06-29,6,6,20,20:43,-97.688539,30.276482,2019
Motor Vehicle,1,2019-07-07,7,7,0,00:15,-97.731517,30.214917,2019
Pedestrian,1,2019-07-14,7,7,4,04:20,-97.735747,30.262956,2019
Motorcycle,1,2019-07-22,7,1,11,11:12,-97.848578,30.39648,2019
Pedestrian,1,2019-07-24,7,3,1,01:28,-97.7349,30.246208,2019
Pedestrian,1,2019-07-27,7,6,1,01:37,-97.696888,30.344504,2019
Pedestrian,1,2019-07-28,7,7,2,02:37,-97.677728,30.344825,2019
Pedestrian,1,2019-07-25,7,4,22,22:33,-97.775209,30.203889,2019
Pedestrian,1,2019-08-04,8,7,2,02:44,-97.86478,30.234056,2019
Motorcycle,1,2019-08-07,8,3,19,19:25,-97.601527,30.376621,2019
Pedestrian,1,2019-08-12,8,1,17,17:09,-97.690618,30.413218,2019
Motor vehicle,1,2019-08-16,8,5,3,03:00,-97.715409,30.207273,2019
Motorcycle,2,2019-08-17,8,6,22,22:21,-97.77695,30.341319,2019
Motor Vehicle,1,2019-08-19,8,1,23,23:55,-97.778568,30.164089,2019
Bicycle,1,2019-08-23,8,5,12,12:59,-97.753002,30.214997,2019
Motor Vehicle,1,2019-09-01,9,7,1,01:49,-97.682889,30.366994,2019
Motorcycle,1,2019-09-01,9,7,5,05:17,-97.721749,30.373529,2019
Pedestrian,1,2019-09-02,9,1,3,03:09,-97.731308,30.275386,2019
Pedestrian,1,2019-09-07,9,6,2,02:20,-97.70633,30.326258,2019
Pedestrian,1,2019-09-11,9,3,1,01:40,-97.669464,30.433304,2019
Motorcycle,1,2019-09-11,9,3,4,04:37,-97.674895,30.221611,2019
Motorcycle,1,2019-09-13,9,5,8,08:42,-97.58065,30.34495,2019
Pedestrian,1,2019-09-23,9,1,20,20:00,-97.788551,30.167279,2019
Motor Vehicle,1,2019-09-27,9,5,11,11:27,-97.648592,30.387004,2019
Pedestrian,1,2019-09-28,9,6,22,22:12,-97.666256,30.395757,2019
Motor Vehicle,1,2019-09-30,9,1,23,23:58,-97.776462,30.181906,2019
Pedestrian,1,2019-10-03,10,4,22,22:39,-97.784272,30.23619,2019
Motor Vehicle,1,2019-09-22,9,7,3,03:56,-97.790471,30.156324,2019
Pedestrian,1,2019-10-13,10,7,15,15:32,-97.793612,30.199257,2019
Motor Vehicle,1,2019-10-17,10,4,9,09:55,-97.763657,30.198195,2019
Motor Vehicle,1,2019-10-26,10,6,0,00:23,-97.774224,30.474036,2019
Motor Vehicle,1,2019-10-27,10,7,8,08:44,-97.721752,30.391173,2019
Motor Vehicle,1,2019-10-29,10,2,13,13:37,-97.712186,30.307096,2019
Pedestrian,1,2019-11-06,11,3,21,21:41,-97.798951,30.20037,2019
Pedestrian,1,2019-11-14,11,4,20,20:36,-97.709755,30.309108,2019
Motor Vehicle,1,2019-11-16,11,6,5,05:01,-97.665486,30.327217,2019
Motor Vehicle,1,2019-11-16,11,6,19,19:05,-97.739859,30.334491,2019
Pedestrian,1,2019-11-21,11,4,19,19:18,-97.771914,30.190949,2019
Motorcycle,1,2019-11-24,11,7,19,19:15,-97.75373,30.217431,2019
Motor Vehicle,1,2019-11-30,11,6,23,23:41,-97.785229,30.17311,2019
Motor Vehicle,1,2019-11-12,11,2,16,16:34,-97.648197,30.300272,2019
Motor Vehicle,1,2019-12-06,12,5,6,06:53,-97.895508,30.250479,2019
Motor Vehicle,1,2019-12-07,12,6,21,21:29,-97.685394,30.362224,2019
Pedestrian,1,2019-12-13,12,5,19,19:34,-97.733366,30.230846,2019
Pedestrian,1,2019-12-16,12,1,2,02:26,-97.697831,30.318902,2019
Motor Vehicle,1,2019-12-17,12,2,4,04:44,-97.763598,30.223409,2019
Pedestrian,1,2019-12-19,12,4,6,06:53,-97.880916,30.240668,2019
Pedestrian,1,2019-12-22,12,7,2,02:25,-97.665833,30.3725,2019
Pedestrian,1,2019-12-31,12,2,18,16:11,-97.66682,30.310396,2019
